team_1,team_2,score_1,score_2,event,date
Wave,Pizza Rat,8,9,Philly Open 2024,2024-08-03
Incline,Pickup Lines,13,3,Philly Open 2024,2024-08-03
Siege,Calypso,13,5,Philly Open 2024,2024-08-03
Vice,Versa,11,2,Philly Open 2024,2024-08-03
Zephyr,Virginia Rebellion,8,6,Philly Open 2024,2024-08-03
Pine Baroness,Dissent,11,2,Philly Open 2024,2024-08-03
Syrup!,Pickup Lines,6,8,Philly Open 2024,2024-08-03
Pine Baroness,Syrup!,15,0,Philly Open 2024,2024-08-03
Dissent,Incline,5,10,Philly Open 2024,2024-08-03
Pine Baroness,Pickup Lines,11,1,Philly Open 2024,2024-08-03
Syrup!,Incline,1,11,Philly Open 2024,2024-08-03
Pine Baroness,Incline,11,5,Philly Open 2024,2024-08-03
Dissent,Pickup Lines,8,2,Philly Open 2024,2024-08-03
Incline,Pickup Lines,13,3,Philly Open 2024,2024-08-03
Siege,Pizza Rat,9,5,Philly Open 2024,2024-08-03
Siege,Vice,10,6,Philly Open 2024,2024-08-03
Zephyr,Pizza Rat,6,7,Philly Open 2024,2024-08-03
Siege,Wave,13,4,Philly Open 2024,2024-08-03
Vice,Virginia Rebellion,10,5,Philly Open 2024,2024-08-03
Zephyr,Versa,8,6,Philly Open 2024,2024-08-03
Calypso,Pizza Rat,5,7,Philly Open 2024,2024-08-03
Vice,Zephyr,5,6,Philly Open 2024,2024-08-03
Virginia Rebellion,Calypso,7,8,Philly Open 2024,2024-08-03
Wave,Virginia Rebellion,7,9,Philly Open 2024,2024-08-03
Versa,Calypso,5,8,Philly Open 2024,2024-08-03
Wave,Versa,11,4,Philly Open 2024,2024-08-03
Tempo,Ultraviolet,6,7,SLOBowl,2024-08-04
Just Add Water,Ultraviolet,5,10,SLOBowl,2024-08-04
Just Add Water,Tempo,2,10,SLOBowl,2024-08-04
