team,rating_team,rank
Fury,2329,1
Scandal,2102,2
Traffic,2035,3
Molly Brown,1965,4
Flipside,1964,5
Brute Squad,1955,6
Phoenix,1945,7
Seattle Riot,1883,8
BENT,1818,9
6ixers,1816,10
Schwa,1763,11
Iris,1563,12
Parcha,1532,13
Grit,1530,14
LOL,1506,15
Nightlock,1490,16
Nemesis,1343,17
Starling Ultimate,1332,18
Flight,1212,19
Pop,1202,20
Vengeance,1166,21
Wildfire,1139,22
Siege,1115,23
Underground,1094,24
Indy Rogue,1073,25
Colorado Small Batch,1033,26
Heist,1020,27
Ozone,959,28
Wicked,915,29
Brooklyn Book Club,868,30
Vice,843,31
FAB,840,32
Juice Box,835,33
Crush City,831,34
Zephyr,763,35
San Antonio Problems,740,36
Tabby Rosa,707,37
Agency,685,38
Seattle END,674,39
Pine Baroness,657,40
Shiver,634,41
Drift,627,42
Trainwreck,614,43
Hayride,604,44
Void Cat Rewind,527,45
Wave,526,46
Magma,481,47
Calypso,450,48
Virginia Rebellion,436,49
Stellar,433,50
Frolic,416,51
Rampage,304,52
Dish,246,53
TWISTED,209,54
Fiasco,173,55
Inferno,172,56
Sureshot,160,57
Versa,124,58
Incline,103,59
Huntsville Laika,101,60
Stormborn,16,61
Medusa,-43,62
Portland Rain Check,-74,63
Venom,-88,64
Firewheel,-140,65
Seattle Soul,-180,66
Haboob,-214,67
Dissent,-233,68
Ultraviolet,-309,69
Freshwater Ultimate,-540,70
Tempo,-563,71
Just Add Water,-765,72
